iter	Passed	Remaining
754	1366	443
755	1368	441
756	1369	439
757	1372	438
758	1375	436
759	1376	434
760	1378	432
761	1383	432
762	1386	430
763	1388	429
764	1391	427
765	1393	425
766	1395	424
767	1397	422
768	1399	420
769	1401	418
770	1403	416
771	1404	414
772	1407	413
773	1408	411
774	1410	409
775	1412	407
776	1413	405
777	1415	403
778	1416	401
779	1418	399
780	1419	397
781	1420	396
782	1422	394
783	1424	392
784	1425	390
785	1427	388
786	1428	386
787	1430	384
788	1431	382
789	1433	380
790	1434	379
791	1436	377
792	1438	375
793	1439	373
794	1440	371
795	1442	369
796	1443	367
797	1444	365
798	1446	363
799	1447	361
800	1448	359
801	1451	358
802	1453	356
803	1454	354
804	1456	352
805	1457	350
806	1459	349
807	1461	347
808	1462	345
809	1464	343
810	1466	341
811	1468	340
812	1470	338
813	1471	336
814	1472	334
815	1474	332
816	1475	330
817	1476	328
818	1478	326
819	1480	324
820	1481	323
821	1483	321
822	1485	319
823	1486	317
824	1488	315
825	1489	313
826	1491	311
827	1492	309
828	1493	308
829	1495	306
830	1497	304
831	1498	302
832	1500	300
833	1501	298
834	1503	297
835	1504	295
836	1506	293
837	1507	291
838	1509	289
839	1511	287
840	1512	285
841	1513	284
842	1515	282
843	1517	280
844	1518	278
845	1519	276
846	1521	274
847	1522	272
848	1524	271
849	1526	269
850	1527	267
851	1529	265
852	1530	263
853	1532	261
854	1533	260
855	1535	258
856	1536	256
857	1539	254
858	1540	252
859	1542	251
860	1543	249
861	1545	247
862	1546	245
863	1547	243
864	1549	241
865	1550	239
866	1552	238
867	1554	236
868	1555	234
869	1557	232
870	1558	230
871	1559	228
872	1560	227
873	1562	225
874	1563	223
875	1564	221
876	1566	219
877	1567	217
878	1569	216
879	1571	214
880	1572	212
881	1573	210
882	1574	208
883	1576	206
884	1577	204
885	1578	203
886	1580	201
887	1582	199
888	1583	197
889	1585	195
890	1586	194
891	1588	192
892	1589	190
893	1590	188
894	1592	186
895	1593	184
896	1594	183
897	1596	181
898	1597	179
899	1599	177
900	1600	175
901	1602	174
902	1603	172
903	1604	170
904	1606	168
905	1608	166
906	1609	165
907	1611	163
908	1613	161
909	1615	159
910	1617	157
911	1618	156
912	1619	154
913	1620	152
914	1622	150
915	1623	148
916	1624	147
917	1626	145
918	1627	143
919	1629	141
920	1630	139
921	1631	138
922	1632	136
923	1633	134
924	1635	132
925	1636	130
926	1638	129
927	1639	127
928	1642	125
929	1643	123
930	1645	121
931	1646	120
932	1647	118
933	1649	116
934	1651	114
935	1653	113
936	1654	111
937	1656	109
938	1658	107
939	1659	105
940	1660	104
941	1661	102
942	1663	100
943	1664	98
944	1665	96
945	1666	95
946	1668	93
947	1669	91
948	1670	89
949	1672	88
950	1674	86
951	1676	84
952	1677	82
953	1679	80
954	1680	79
955	1681	77
956	1682	75
957	1684	73
958	1686	72
959	1688	70
960	1689	68
961	1690	66
962	1692	65
963	1693	63
964	1694	61
965	1695	59
966	1697	57
967	1698	56
968	1699	54
969	1701	52
970	1703	50
971	1704	49
972	1705	47
973	1707	45
974	1708	43
975	1709	42
976	1711	40
977	1712	38
978	1713	36
979	1715	35
980	1717	33
981	1718	31
982	1719	29
983	1720	27
984	1721	26
985	1722	24
986	1723	22
987	1725	20
988	1726	19
989	1727	17
990	1728	15
991	1729	13
992	1731	12
993	1733	10
994	1734	8
995	1735	6
996	1736	5
997	1737	3
998	1739	1
999	1740	0
